Latitude,Longitude
-12.0607953,-77.0820539
-12.0609190,-77.0820191
-12.0601903,-77.0783846
-12.0608261,-77.0753395
-12.0617743,-77.0723600
-12.0623348,-77.0761931
-12.0609756,-77.0764865
-12.0609156,-77.0760116
-12.0617939,-77.0779718
-12.0612250,-77.0781138
-12.0613146,-77.0740960
-12.0617334,-77.0728838
-12.0617617,-77.0722042
-12.0617857,-77.0720052
-12.0618544,-77.0718138
-12.0620309,-77.0712704
-12.0619681,-77.0697899
-12.0529497,-77.0958581
-12.0560726,-77.0956011
-12.0529313,-77.0957534
-12.0556130,-77.0962287
-12.0563996,-77.0975839
-12.0562801,-77.0964629
-12.0563033,-77.0963492
-12.0563502,-77.0962099
-12.0589715,-77.0927565
-12.0591257,-77.0927971
-12.0599165,-77.0929302
-12.0581836,-77.0927180
-12.0534831,-77.0934972
-12.0563773,-77.0951849
-12.0580446,-77.0830445
-12.0569621,-77.0835571
-12.0597342,-77.0773741
-12.0513463,-77.0780570
-12.0517849,-77.0768040
-12.0576672,-77.0779254
-12.0569904,-77.0780806
-12.0564338,-77.0781865
-12.0556734,-77.0781593
-12.0554335,-77.0781129
-12.0543956,-77.0777586
-12.0512314,-77.0766070
-12.0506991,-77.0765244
-12.0502679,-77.0765370
-12.0546330,-77.0830625
-12.0543117,-77.0835865
-12.0540439,-77.0840106
-12.0535323,-77.0846376
-12.0531806,-77.0848774
-12.0527061,-77.0850562
-12.0513690,-77.0853840
-12.0523460,-77.0851983
-12.0527192,-77.0851230
-12.0529409,-77.0850530
-12.0531912,-77.0849474
-12.0535937,-77.0846759
-12.0539332,-77.0842972
-12.0540680,-77.0840948
-12.0513857,-77.0781958
-12.0516755,-77.0782870
-12.0550934,-77.0804434
-12.0590784,-77.0846310
-12.0546774,-77.0836823
-12.0548899,-77.0835425
-12.0552085,-77.0834018
-12.0554962,-77.0829076
-12.0554936,-77.0828345
-12.0583678,-77.0814758
-12.0584076,-77.0816482
-12.0583777,-77.0817226
-12.0584013,-77.0820808
-12.0582934,-77.0821527
-12.0581833,-77.0816860
-12.0582257,-77.0816540
-12.0581928,-77.0815120
-12.0581778,-77.0813387
-12.0570283,-77.0798710
